task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te_mean,te_std,te_sem,te_iqr,te_ci_lower,te_ci_upper,te_snr_linear,te_snr_db,mean_runtime
41,BC,10,POm,53,-0.06145181474644062,0.9196042652143841,0.13005168238823267,1.1727796645400659,-0.3134986003571352,0.19739868982551886,-0.06682419500535328,-inf,87.80401324272155
42,BC,10,POm,54,-0.0644819274045264,0.26346428165447294,0.03725947603166407,0.3203848961878979,-0.13911994550041903,0.0071785547062712925,-0.24474637320702508,-inf,28.826485371589662
43,BC,10,POm,55,0.2526509544339811,0.7591266826783645,0.107356725020304,1.0907225392299758,0.050451970715963225,0.4640430938504268,0.3328179079973496,-9.555866271713498,73.38745896816253
44,BC,10,POm,56,-0.09225558137525923,0.37263893588729785,0.052699103700009485,0.5384881047692716,-0.1912276585493517,0.012905232568587747,-0.2475736496927989,-inf,98.80840395450592
45,BC,10,POm,57,-0.018278612782480816,0.10879446120119393,0.015385860254180194,0.14211328548362417,-0.047749297902454794,0.011918308585608026,-0.16801050881329446,-inf,7.502844133377075
46,BC,10,POm,58,0.004849162747460909,0.1921261053733837,0.027170734390496158,0.2471308017205649,-0.04697615191150349,0.06017224201907146,0.02523947871652787,-31.958392380692228,23.961188402175903
47,BC,10,POm,59,0.06624596177375658,0.22100191892915402,0.03125439110600888,0.2616741101303397,0.007114242646740796,0.1264996072638906,0.29975288040368947,-10.464732699199946,53.69165335178375
48,BC,10,POm,60,-0.010541403134085954,0.3184479425156788,0.045035339921548075,0.45492338077591477,-0.09952302259944233,0.07558506260938151,-0.03310243756266991,-inf,57.78930678844452
49,BC,10,POm,61,0.0987465999891971,0.3630345866542394,0.05134084360569359,0.4646645320159859,-0.0018664213506304262,0.20062365775636176,0.2720032845885429,-11.308517031811121,41.329923834800724
50,BC,10,POm,62,-0.008595433160448494,0.4711145960599465,0.06662566511798985,0.6860362171821865,-0.14547259704372575,0.10889385185649218,-0.018244888255074945,-inf,48.56027983188629
51,BC,11,POm,46,-0.1799708118195491,0.9636646144138956,0.13628275672831702,1.5456981461396353,-0.4321893299089472,0.08443062322952782,-0.18675668809216162,-inf,63.354483017921446
52,BC,11,POm,47,-0.19291737435009465,0.720518202268649,0.10189666135850044,0.6883549439165737,-0.39777766734347936,0.009909828581023006,-0.267748092612606,-inf,78.69725693225861
53,BC,11,POm,48,0.21327173907387675,0.6347896456769149,0.08977281261703045,0.88888470499462,0.047469884085039604,0.38038849442434,0.3359723028349842,-9.473930477306343,56.4000035238266
54,BC,11,POm,49,-0.14906913443674452,0.26943839132519054,0.038104342723607375,0.3933293222620229,-0.22011000600069122,-0.0764182345232342,-0.5532587011953691,-inf,20.486500840187073
55,BC,11,POm,50,-0.031138348992982116,1.1202036871974899,0.15842072470550383,1.7033640604902374,-0.33618624898545085,0.2806765317749793,-0.027797042045883288,-inf,62.33854109287262
56,BC,11,POm,51,-0.06284220546513211,1.5087204914528531,0.21336529808428262,2.2170879757880613,-0.4684816499685357,0.33569678051305923,-0.041652649262168454,-inf,94.29994548797607
57,BC,11,POm,52,-0.3811543998905944,2.8197013941463958,0.3987659953444157,3.4071498340000375,-1.197202458291841,0.3697288801728826,-0.1351754482520234,-inf,166.5050980234146
58,BC,11,POm,53,0.18695074365766204,0.8552222114558427,0.12094668502835636,0.9989861284656492,-0.03599749893880953,0.42680027220108624,0.21859902742635304,-13.207035492219251,48.66262062549591
59,BC,11,POm,54,-0.05880486306836559,0.2731803996705252,0.03863354261885593,0.3072879299602258,-0.133836823649446,0.014226178025029578,-0.21526018389052945,-inf,32.38654512405395
60,BC,11,POm,55,0.2928451365567079,0.6448031622557407,0.09118893771231279,1.0966830594478179,0.11294383699805514,0.4636401226943152,0.45416206634631884,-6.855782856507087,84.68407455921174
61,BC,11,POm,56,-0.19077177915292665,0.453649774132467,0.0641557663145626,0.5320287797192833,-0.3134404675635021,-0.06326174356364231,-0.42052656042372627,-inf,54.72448637485504
62,BC,11,POm,57,-0.007076342956779569,0.1391616277927046,0.019680426138635947,0.18629225117291615,-0.04424129250272621,0.030429339040514772,-0.050849814485646155,-inf,8.489813480377197
63,BC,11,POm,58,-0.03295583605627577,0.3674158202227213,0.05196044359894073,0.5539047964791024,-0.13278441595436005,0.06853512350692881,-0.08969629025853731,-inf,27.33607139110565
64,BC,11,POm,59,-0.03709655398927403,0.2503997184545172,0.03541186778527828,0.31153428463027577,-0.1056250691526176,0.028205790924477534,-0.14814934385005019,-inf,30.980379462242126
65,BC,11,POm,60,0.05582648064121102,0.5313228984709719,0.07514040490170315,0.7375535454803686,-0.08583062387425716,0.2054429550025203,0.10507072215759401,-19.570365655985775,46.1135028219223
66,BC,11,POm,61,0.030625740533024696,0.3155367157244156,0.04462363028041324,0.487767997406646,-0.05710910556187674,0.11448068328732328,0.09705919788989847,-20.25926604146358,52.16024499416351
67,BC,11,POm,62,0.007512004309376152,0.604343281467723,0.08546704649807145,0.7456629471480838,-0.15513193033367312,0.17067054486006067,0.01243002866042014,-38.11055739973675,47.76197322368622
68,BC,12,POm,46,0.014418151567600717,0.7955521784668422,0.11250806803632692,0.7781528139688874,-0.205342245134586,0.24173299513498422,0.018123451808512207,-34.83518165347077,50.77771019935608
69,BC,12,POm,47,-0.03165316203703497,0.30649510969784943,0.04334495409357282,0.39302978614268014,-0.11429437774095057,0.05318608134732982,-0.1032746071160465,-inf,82.28879929542542
70,BC,12,POm,48,0.27056880932540267,0.46318456924470863,0.06550418997078068,0.7167019596218793,0.14269681326778477,0.4007668973049282,0.5841490137864597,-4.66952704370674,73.96686295986176
71,BC,12,POm,49,0.004256018375233896,0.15534259098581227,0.02196875989863122,0.15993734475160326,-0.03424966933875421,0.04850461897661293,0.027397627065603704,-31.245741004133478,18.19820510864258
72,BC,12,POm,50,0.34790465589551844,0.8571890780410032,0.12122484196836761,1.3496665837659165,0.10678048480010663,0.58224283751208,0.40586687909114566,-7.83232775980113,61.32239268302917
73,BC,12,POm,51,0.27496987284981683,1.4085502993968013,0.199199093669164,1.6895615828862063,-0.11377399655908371,0.6415264347809598,0.19521480558242765,-14.189744948662105,64.25055633068085
74,BC,12,POm,52,-0.18967641118055723,1.2984797212087436,0.18363276321998404,1.5299525273437737,-0.5697392609843842,0.16473215867361066,-0.146075759276386,-inf,131.67995269298552
75,BC,12,POm,53,-0.47564883289480575,0.8026404011398066,0.11351049410004958,1.1163676215277683,-0.6895677239325627,-0.2606620074271538,-0.592605146986559,-inf,58.528072929382326
76,BC,12,POm,54,-0.05883192846821778,0.24400757537957501,0.03450788224235703,0.2711440722463303,-0.12728018835001398,0.009990405989604925,-0.2411069753744309,-inf,49.75166989803314
77,BC,12,POm,55,0.3226323173364129,0.716039809307115,0.10126332095211667,1.1381371311432371,0.12319448156044194,0.5120906119797732,0.4505787431687802,-6.924586014439026,77.47148364067078
78,BC,12,POm,56,-0.13239221214844066,0.4338680412629944,0.06135820682343763,0.31698666967527167,-0.2542464765625602,-0.023015804572980053,-0.30514395981562864,-inf,75.65906049728393
79,BC,12,POm,57,-0.008286084774914397,0.11479575134421127,0.0162345708453793,0.16199080011333294,-0.04073385149090799,0.022063024157344152,-0.07218111017078363,-inf,8.81656478881836
80,BC,12,POm,58,0.03542485342169442,0.1913613749714641,0.02706258517990079,0.3004960979607212,-0.01963473934623598,0.08528993307065062,0.18512018648996953,-14.650924417681875,26.395308246612547
81,BC,12,POm,59,0.003447696544104488,0.25828604350038925,0.036527162568993764,0.3421094966179554,-0.06856209816716437,0.07171456258679358,0.01334836562355446,-37.49143812287792,70.47309905529022
82,BC,12,POm,60,0.03956337569451506,0.2271271065994268,0.03212062345354691,0.3212500341579396,-0.023205742186833297,0.09795069891802498,0.17419046227842408,-15.179512565585469,62.62965775489807
83,BC,12,POm,61,0.003535091751319186,0.29971528312455104,0.04238614182452321,0.41529400264145977,-0.08007828953134304,0.08131542076895414,0.01179483313118246,-38.566163979364745,67.06141521930695
84,BC,12,POm,62,-0.15033714586037492,0.48317534372531945,0.06833131241006286,0.4788651254241927,-0.2789662469832833,-0.020177598894109743,-0.3111440759813277,-inf,82.57336781024932
85,BC,3,POm,46,0.20748169465935007,0.7765077358364217,0.10981477713074922,1.0706157254829733,-0.005414084077448622,0.41383466187373447,0.26719849021962344,-11.463320002607897,64.615116314888
86,BC,3,POm,47,-0.1456260175141007,0.5308108584898176,0.07506799151312057,0.6832672460110967,-0.2973182415532965,-0.00021436609297067121,-0.27434634236461125,-inf,93.15942678928376
87,BC,3,POm,48,0.11988099878982197,0.5154846009507115,0.0729005313858979,0.8474126777482489,-0.034976668356585784,0.2583224176850596,0.23255980599367024,-12.669306870703176,88.85272324562072
88,BC,3,POm,49,0.01635754105735838,0.170718085008735,0.0241431831161716,0.1508495792225899,-0.0290654533768613,0.06642497876999019,0.09581609972090202,-20.371230229182785,13.00780086517334
89,BC,3,POm,50,0.31873034511233894,0.9765869614233551,0.13811025256816392,1.4518600170550933,0.05229359910852941,0.5802325193173865,0.3263716982743617,-9.725750173374838,50.126826634407045
90,BC,3,POm,51,0.29448400900335625,1.688515142009035,0.23879210141015098,1.9703501875361482,-0.19990543640095632,0.742064440912823,0.17440412684305115,-15.168864855504827,129.6755453634262
91,BC,3,POm,52,-0.9093189659497249,2.7928668233238065,0.39497101394463896,3.1141607162241556,-1.685760877703145,-0.1483079437894593,-0.32558622500572343,-inf,143.50213901519774
92,BC,3,POm,53,0.0670599415874895,0.7872973503487329,0.11134065904835802,0.9968750107315039,-0.15960196545033084,0.27079833350553606,0.08517740032757043,-21.393512380483727,80.30494300365449
93,BC,3,POm,54,-0.01912225613575501,0.36568343958420635,0.05171544797952269,0.4085525521971016,-0.11313209726486442,0.08050291027549686,-0.05229182966966625,-inf,54.162350373268126
94,BC,3,POm,55,0.225130466869538,0.6726926266925637,0.0951331035977005,0.8979932770635273,0.0395793495327252,0.4070020282485807,0.33467063252415863,-9.507647909538749,64.75546263694763
95,BC,3,POm,56,-0.07210396437392347,0.4192883491420395,0.05929632699016977,0.384472303897212,-0.18704257253388945,0.04888376213048809,-0.171967488534954,-inf,34.23059054851532
96,BC,3,POm,57,0.08955787833556333,0.1522448822815958,0.02153067773245281,0.15246429630644287,0.048894985789119036,0.132356845399477,0.5882488592944288,-4.608778126306663,9.31423351764679
