task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te mean (nats per second),te std,mean runtime (second),
204,POm,46,BC,0,0.021459211,0.881734191,259.6292454,FALSE
34,BC,10,POm,46,-0.063290067,0.603929682,258.6949896,FALSE
206,POm,46,BC,10,-0.006082649,1.513434328,256.5464494,FALSE
264,POm,51,BC,0,0.028519606,1.050698177,255.0491868,FALSE
306,POm,54,BC,4,0.179885304,0.493180403,254.4229941,FALSE
348,POm,58,BC,0,-0.468962288,2.018587219,252.5118272,FALSE
406,POm,62,BC,8,-0.045491183,1.931497618,251.2736399,FALSE
236,POm,48,BC,6,-0.22863307,0.92832605,249.5048907,FALSE
272,POm,51,BC,6,-0.248433149,0.811493317,248.8283507,FALSE
340,POm,57,BC,12,0.175696407,1.859682595,247.1510468,FALSE
280,POm,52,BC,12,-0.15281871,1.963728596,247.0172949,FALSE
268,POm,51,BC,12,-0.213363024,1.408871588,245.4457928,FALSE
176,BC,8,POm,52,0.496828485,2.560547831,242.7376811,FALSE
137,BC,6,POm,47,0.036373151,0.374876048,241.2590612,FALSE
212,POm,46,BC,6,-0.584021152,1.070471109,240.8682854,FALSE
262,POm,50,BC,8,-0.077609412,1.544751869,238.4861776,FALSE
286,POm,52,BC,8,-0.190500874,2.044423005,238.3702749,FALSE
316,POm,55,BC,12,-0.710751915,1.861171577,236.9157194,FALSE
143,BC,6,POm,53,-0.002225109,0.546213685,234.397182,FALSE
312,POm,55,BC,0,0.069834576,1.214233883,231.4155985,FALSE
278,POm,52,BC,10,0.276135987,1.015489974,231.200479,FALSE
384,POm,61,BC,0,0.098412095,1.134846309,228.6220999,FALSE
379,POm,60,BC,5,0.157171863,1.265896393,227.7233769,FALSE
94,BC,3,POm,55,0.005207121,0.565477795,227.5054039,FALSE
136,BC,6,POm,46,0.068721981,0.571785168,226.5436108,FALSE
223,POm,47,BC,5,-0.051565937,1.23477937,226.1007494,FALSE
292,POm,53,BC,12,-0.12964182,1.350591608,222.4778193,FALSE
242,POm,49,BC,10,-1.497400472,3.449839316,222.145614,FALSE
154,BC,7,POm,47,-0.023750276,0.476379181,219.5530841,FALSE
155,BC,7,POm,48,0.083472467,0.639000361,218.8204009,FALSE
1,BC,0,POm,47,-0.09417009,0.339273211,218.0900934,FALSE
38,BC,10,POm,50,0.345651896,0.742919995,217.6418592,FALSE
177,BC,8,POm,53,-0.133043053,0.599494338,216.4999107,FALSE
345,POm,57,BC,7,-0.6502924,2.672982019,216.313169,FALSE
355,POm,58,BC,5,0.328401292,1.013190936,216.13858,FALSE
160,BC,7,POm,53,-0.257169077,0.603734778,216.1383732,FALSE
367,POm,59,BC,5,-0.81491819,1.2500513,214.0541138,FALSE
233,POm,48,BC,3,-0.026024494,0.151919667,213.8307957,FALSE
108,BC,4,POm,52,1.250549133,3.722798649,210.5665884,FALSE
175,BC,8,POm,51,0.416110012,1.346193815,210.5618487,FALSE
248,POm,49,BC,6,0.101285804,0.922832007,209.8876256,FALSE
404,POm,62,BC,6,0.114994992,0.650719234,209.0799182,FALSE
92,BC,3,POm,53,-0.07750404,0.741847028,208.6923648,FALSE
107,BC,4,POm,51,0.408475995,1.47720404,207.5422069,FALSE
213,POm,46,BC,7,-0.24722168,0.848277245,206.0366244,FALSE
357,POm,58,BC,7,-0.100890566,1.6645391,205.4247797,FALSE
120,BC,5,POm,47,-0.278094049,0.496362658,204.5888067,FALSE
237,POm,48,BC,7,-0.141206862,0.836012396,202.5234981,FALSE
218,POm,47,BC,10,0.064773047,1.206272807,202.262806,FALSE
369,POm,59,BC,7,-0.303813815,1.635081553,200.8705513,FALSE
290,POm,53,BC,10,-0.156548877,1.405980856,200.7234905,FALSE
376,POm,60,BC,12,-1.07276278,1.846240295,200.3050314,FALSE
266,POm,51,BC,10,-0.123629775,1.030986065,199.7664062,FALSE
260,POm,50,BC,6,-0.053184597,0.69931213,198.2694467,FALSE
261,POm,50,BC,7,-0.13820596,0.474611254,197.833838,FALSE
257,POm,50,BC,3,-0.06492629,0.106065054,197.1192346,FALSE
36,BC,10,POm,48,-0.002358716,0.716551347,197.1003373,FALSE
124,BC,5,POm,51,0.554688556,1.306444099,195.9063881,FALSE
193,BC,9,POm,52,3.353789233,7.776350603,195.8912079,FALSE
350,POm,58,BC,10,0.477234255,1.084996767,194.6325345,FALSE
405,POm,62,BC,7,-0.259038215,0.907715885,193.6883898,FALSE
4,BC,0,POm,50,0.346451124,0.775188294,193.5243134,FALSE
382,POm,60,BC,8,-0.114378848,1.962468717,193.2739985,FALSE
123,BC,5,POm,50,0.3971016,0.908664578,192.4065566,FALSE
274,POm,51,BC,8,0.131586255,1.807453546,191.9259463,FALSE
254,POm,50,BC,10,0.16937589,1.22477964,191.2158794,FALSE
163,BC,7,POm,56,0.12098282,0.266946705,190.5504318,FALSE
332,POm,56,BC,6,0.089899088,0.684153423,190.1872891,FALSE
365,POm,59,BC,3,-0.033028828,0.182323679,190.1745709,FALSE
346,POm,57,BC,8,0.383800283,2.811352305,189.6456845,FALSE
196,BC,9,POm,55,-0.150490974,0.786773395,188.9838845,FALSE
7,BC,0,POm,53,-0.139233868,0.564521436,188.7113815,FALSE
258,POm,50,BC,4,0.075811772,0.478637606,187.17513,FALSE
324,POm,56,BC,0,0.054448611,1.11286315,187.0444791,FALSE
220,POm,47,BC,12,-0.884286312,1.80475227,186.8792807,FALSE
244,POm,49,BC,12,0.269365791,1.661906058,186.0461464,FALSE
402,POm,62,BC,4,-0.025167695,0.605751656,183.910358,FALSE
356,POm,58,BC,6,0.204577929,0.991789652,181.0091871,FALSE
144,BC,6,POm,54,0.009882555,0.281202257,180.1611378,FALSE
314,POm,55,BC,10,0.300522539,1.114183469,178.3338409,FALSE
271,POm,51,BC,5,0.236629347,1.138195781,176.2526393,FALSE
179,BC,8,POm,55,-0.083240136,0.44234954,175.708795,FALSE
151,BC,6,POm,61,-0.238036,0.437969927,175.5439981,FALSE
168,BC,7,POm,61,-0.084180519,0.396821525,175.5190265,FALSE
162,BC,7,POm,55,-0.066136616,0.545069272,174.5389652,FALSE
161,BC,7,POm,54,0.01511281,0.392832574,173.967971,FALSE
73,BC,12,POm,51,0.329865407,1.163962492,172.1018608,FALSE
234,POm,48,BC,4,0.12514769,0.492895587,170.1796312,FALSE
252,POm,50,BC,0,0.134477752,0.939118438,169.7573589,FALSE
247,POm,49,BC,5,0.89880982,0.967220594,169.0063615,FALSE
169,BC,7,POm,62,0.01292951,0.586433193,168.6644201,FALSE
288,POm,53,BC,0,-0.103125793,0.830293481,168.4785913,FALSE
366,POm,59,BC,4,0.22364747,0.478581011,168.452275,FALSE
295,POm,53,BC,5,0.210206758,1.030799784,168.1807491,FALSE
126,BC,5,POm,53,-0.182244071,0.529653014,167.0765945,FALSE
283,POm,52,BC,5,0.435909166,1.019918424,166.7508195,FALSE
216,POm,47,BC,0,0.020080804,0.857067196,165.0952251,FALSE
15,BC,0,POm,61,-0.142518625,0.394258953,164.7333664,FALSE
72,BC,12,POm,50,0.21156115,0.706768096,164.4167801,FALSE
210,POm,46,BC,4,0.136921831,0.605052985,163.2001432,FALSE
202,BC,9,POm,61,-1.043145258,0.904241877,162.4330374,0
321,POm,55,BC,7,-0.494381366,0.76579662,161.0348158,FALSE
338,POm,57,BC,10,0.778605377,2.111911726,160.9448909,FALSE
106,BC,4,POm,50,0.149161385,0.915514723,160.8854153,FALSE
375,POm,60,BC,11,-0.01120358,0.106280245,160.4114757,FALSE
174,BC,8,POm,50,0.271315322,1.083761566,159.6559465,FALSE
0,BC,0,POm,46,0.013149221,0.586415202,159.5885722,FALSE
84,BC,12,POm,62,-0.055146026,0.465466724,159.1200779,FALSE
284,POm,52,BC,6,-0.072357407,1.110795216,158.9013512,FALSE
343,POm,57,BC,5,1.355745742,1.166046895,158.2051642,0
322,POm,55,BC,8,-0.0721051,1.913503838,157.3634723,FALSE
226,POm,47,BC,8,-0.081082274,2.083762436,156.5950867,FALSE
203,BC,9,POm,62,-0.613190208,1.037572813,156.3263519,FALSE
59,BC,11,POm,54,0.252178557,0.468702519,156.2282915,FALSE
380,POm,60,BC,6,-0.228496319,0.996816855,155.3055154,FALSE
145,BC,6,POm,55,-0.2015627,0.504762633,154.6421479,FALSE
55,BC,11,POm,50,0.735615713,0.754490686,154.5920406,FALSE
51,BC,11,POm,46,0.730757954,1.169605882,153.8919537,FALSE
49,BC,10,POm,61,-0.056578349,0.398808254,153.4700343,FALSE
192,BC,9,POm,51,1.297440448,2.329359257,152.8849957,FALSE
201,BC,9,POm,60,-0.503004689,1.331820276,152.7884984,FALSE
81,BC,12,POm,59,-0.158499535,0.471179856,152.6078664,FALSE
344,POm,57,BC,6,-0.865998897,1.728419192,152.5841901,FALSE
381,POm,60,BC,7,-0.579995171,1.198808612,152.0266562,FALSE
319,POm,55,BC,5,-0.16620222,1.24895285,151.8461055,FALSE
336,POm,57,BC,0,0.605618373,2.12939444,151.4372508,FALSE
326,POm,56,BC,10,-0.162446822,1.259784169,151.3629723,FALSE
194,BC,9,POm,53,0.327735849,0.878623816,151.2583241,FALSE
2,BC,0,POm,48,-0.011212158,0.553982021,150.3076192,FALSE
170,BC,8,POm,46,0.049409028,0.630642195,149.6366938,FALSE
298,POm,53,BC,8,-0.61243327,1.904974019,149.5479981,FALSE
75,BC,12,POm,53,-0.120726137,0.629428085,149.3277976,FALSE
249,POm,49,BC,7,1.110818895,2.282183904,146.9402235,FALSE
83,BC,12,POm,61,-0.170323147,0.361305845,144.6879645,FALSE
197,BC,9,POm,56,0.133811687,0.632966617,144.3292097,FALSE
240,POm,49,BC,0,-0.211153013,1.555088012,144.0571664,FALSE
333,POm,56,BC,7,-0.130087496,0.775043348,143.9938625,FALSE
171,BC,8,POm,47,-0.001680057,0.324579685,143.5035881,FALSE
294,POm,53,BC,4,0.181598369,0.441511418,143.4459607,FALSE
102,BC,4,POm,46,0.136634768,0.783004602,142.7515385,FALSE
10,BC,0,POm,56,-0.060658619,0.221216262,142.4593074,FALSE
182,BC,8,POm,58,0.006970732,0.228197258,142.4219129,FALSE
85,BC,3,POm,46,0.242951844,0.799665937,141.5098146,FALSE
103,BC,4,POm,47,0.156518934,0.442334551,140.6496609,FALSE
302,POm,54,BC,10,0.256386983,1.039686416,139.6009135,FALSE
296,POm,53,BC,6,-0.099370106,0.767984368,139.2095106,FALSE
209,POm,46,BC,3,-0.034804889,0.097468109,139.031232,FALSE
41,BC,10,POm,53,-0.325419974,0.659768954,138.8825112,FALSE
228,POm,48,BC,0,0.240098196,0.863794571,137.9099552,FALSE
300,POm,54,BC,0,0.0399719,1.137757491,137.5051199,FALSE
331,POm,56,BC,5,-0.377304836,1.039070969,137.3471918,FALSE
50,BC,10,POm,62,-0.043035791,0.51739598,136.4870921,FALSE
146,BC,6,POm,56,-0.040964556,0.620750838,135.8904339,FALSE
166,BC,7,POm,59,-0.110371529,0.523511772,135.6122307,FALSE
191,BC,9,POm,50,0.124029066,1.010579573,134.7965617,FALSE
167,BC,7,POm,60,0.425975134,0.761433812,134.5211244,FALSE
378,POm,60,BC,4,0.201905549,0.510339724,134.128768,FALSE
23,BC,1,POm,52,1.488084169,7.355029085,133.803508,FALSE
180,BC,8,POm,56,-0.008744841,0.505703315,133.731084,FALSE
230,POm,48,BC,10,-0.205294699,1.109149168,133.6433746,FALSE
165,BC,7,POm,58,0.099689424,0.345667748,133.4536347,FALSE
33,BC,1,POm,62,0.348501116,1.468370917,133.1257092,FALSE
128,BC,5,POm,55,-0.07567516,0.488767051,133.1177161,FALSE
224,POm,47,BC,6,-0.048024785,0.895419115,131.5743651,FALSE
