task_id,source_group_id,source_neuron_id,target_group_id,target_neuron_id,te mean (nats per second),te std,mean runtime (second),
349,POm,58,BC,1,-0.033455681,0.15354456,26.05131208,FALSE
265,POm,51,BC,1,0.009081681,0.138527401,24.59609536,FALSE
385,POm,61,BC,1,0.005666939,0.139870145,22.74606307,FALSE
219,POm,47,BC,11,0.048526404,0.121055341,21.6865931,FALSE
181,BC,8,POm,57,-0.037786971,0.094853804,21.14423001,FALSE
96,BC,3,POm,57,0.152259518,0.130727842,20.83544348,0
147,BC,6,POm,57,-0.083233261,0.138267362,19.83898514,FALSE
303,POm,54,BC,11,0.0080214,0.107233765,19.59138471,FALSE
373,POm,60,BC,1,0.046117957,0.119407545,18.90626536,FALSE
45,BC,10,POm,57,-0.03309763,0.092185804,18.51700792,FALSE
79,BC,12,POm,57,-0.10645574,0.082519426,18.4974617,0
229,POm,48,BC,1,0.006713958,0.143763292,17.37586851,FALSE
164,BC,7,POm,57,0.009397732,0.088702495,17.00583188,FALSE
241,POm,49,BC,1,0.064023856,0.146927492,16.87665157,FALSE
325,POm,56,BC,1,-0.008239142,0.185524013,16.18276317,FALSE
277,POm,52,BC,1,-0.035307447,0.171124264,14.55901343,FALSE
198,BC,9,POm,57,-0.003908809,0.088768912,14.47853047,FALSE
130,BC,5,POm,57,-0.000120956,0.068548756,14.05553512,FALSE
301,POm,54,BC,1,0.013507668,0.132759569,13.85729238,FALSE
28,BC,1,POm,57,0.08734713,0.189263406,13.32672766,FALSE
289,POm,53,BC,1,0.032353914,0.123263467,13.11609239,FALSE
313,POm,55,BC,1,-0.043931385,0.146063667,10.74861611,FALSE
